epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.4288,3.51207,6.35266,2.40538,0,0,0,0,3.5704,6.11064,2.82314,0.00014,0.00014,0.00014
2,83.8526,2.33765,4.76962,1.61803,0.00333,1,0.01339,0.00765,1.52675,4.56382,1.35335,0.00029406,0.00029406,0.00029406
3,116.606,1.74886,3.31532,1.22028,0.00333,1,0.88573,0.35301,1.36365,3.81005,1.24988,0.000441784,0.000441784,0.000441784
4,150.121,1.28768,2.32338,1.10538,0.00333,1,0.0122,0.00933,0.99305,3.64589,1.03048,0.000583172,0.000583172,0.000583172
5,181.784,1.37814,2.39368,1.19327,0.00333,1,0.04401,0.03356,1.06767,4.05125,1.18955,0.000718224,0.000718224,0.000718224
6,215.989,1.31746,2.00816,1.13576,0.00333,1,0.03703,0.02177,1.15735,8.93727,1.16115,0.00084694,0.00084694,0.00084694
7,249.817,1.28631,2.00834,1.17116,0.00333,1,0.04041,0.02025,1.17669,4.81052,1.24365,0.00096932,0.00096932,0.00096932
8,282.325,1.32474,1.89769,1.18757,0.00333,1,0.0175,0.01102,1.23059,4.02382,1.19465,0.00108536,0.00108536,0.00108536
9,315.646,1.30947,1.73131,1.10732,0.79538,0.69565,0.9144,0.47387,1.1996,2.48598,1.10053,0.00119507,0.00119507,0.00119507
10,347.23,1.11541,1.66415,1.12292,1,0.98077,0.995,0.50381,1.17308,2.62464,1.16956,0.00129844,0.00129844,0.00129844
11,380.708,1.17023,1.6621,1.08221,0.98414,1,0.995,0.7217,1.00714,2.43786,1.19902,0.00139548,0.00139548,0.00139548
12,413.611,1.16738,1.68744,1.05886,0.30035,0.95652,0.30513,0.19075,1.26418,2.54856,1.28807,0.00148618,0.00148618,0.00148618
13,449.565,1.14602,1.71413,1.06996,0.99462,1,0.995,0.61905,1.30893,1.65569,1.26139,0.0015248,0.0015248,0.0015248
14,482.636,0.95101,1.58059,1.03277,0.99679,1,0.995,0.67799,1.27696,1.75725,1.22015,0.0014852,0.0014852,0.0014852
15,519.745,0.93952,1.60017,1.04247,0.9975,1,0.995,0.74562,1.0973,1.84282,1.20539,0.0014456,0.0014456,0.0014456
16,556.207,0.95941,1.3859,1.06863,0.99717,1,0.995,0.79566,1.03348,1.57615,1.18193,0.001406,0.001406,0.001406
17,591.476,0.96745,1.45832,1.05303,0.9975,1,0.995,0.80567,1.02007,1.59134,1.32304,0.0013664,0.0013664,0.0013664
18,626.434,0.90524,1.52138,1.08163,0.9978,1,0.995,0.78049,0.91761,1.43524,1.16594,0.0013268,0.0013268,0.0013268
19,658.06,0.85585,1.24042,1.00758,0.99787,1,0.995,0.77622,0.89206,1.35512,1.13702,0.0012872,0.0012872,0.0012872
20,690.747,0.92062,1.19127,0.99384,0.99788,1,0.995,0.81462,0.78203,1.06124,1.10556,0.0012476,0.0012476,0.0012476
21,722.416,0.85541,1.15302,1.00943,0.99782,1,0.995,0.76862,0.96058,1.07641,1.15393,0.001208,0.001208,0.001208
22,755.319,0.87741,1.25937,0.99103,0.99769,1,0.995,0.78043,0.92303,1.12606,1.19897,0.0011684,0.0011684,0.0011684
23,787.386,0.80655,1.05412,0.97112,0.99765,1,0.995,0.7516,1.08776,1.12417,1.3245,0.0011288,0.0011288,0.0011288
24,819.387,0.96957,1.0613,1.00869,0.99746,1,0.995,0.79357,0.94503,1.20578,1.20982,0.0010892,0.0010892,0.0010892
25,852.238,0.89039,1.05655,1.01044,0.99741,1,0.995,0.79745,0.9333,1.22742,1.19662,0.0010496,0.0010496,0.0010496
26,884.081,0.88529,1.18799,1.00882,0.99756,1,0.995,0.75614,0.91768,1.1624,1.11637,0.00101,0.00101,0.00101
27,916.84,0.80805,1.0592,0.9699,0.99765,1,0.995,0.80694,0.88181,1.18821,1.12551,0.0009704,0.0009704,0.0009704
28,948.401,0.91158,1.09237,0.98613,0.99778,1,0.995,0.78437,0.8442,1.13506,1.09298,0.0009308,0.0009308,0.0009308
29,981.063,0.84415,1.02073,0.98186,0.99776,1,0.995,0.81005,0.8489,1.04914,1.10405,0.0008912,0.0008912,0.0008912
30,1013.85,0.81221,1.10162,0.99206,0.99769,1,0.995,0.76217,0.89807,1.02357,1.15667,0.0008516,0.0008516,0.0008516
31,1048.67,0.86926,0.97588,1.01309,0.99767,1,0.995,0.75505,0.89665,1.00936,1.13047,0.000812,0.000812,0.000812
32,1080.84,0.83487,0.98924,0.96972,0.99767,1,0.995,0.77106,0.79186,0.98802,1.07079,0.0007724,0.0007724,0.0007724
33,1113.29,0.79221,0.95615,1.01657,0.99774,1,0.995,0.79001,0.72798,0.95017,1.07839,0.0007328,0.0007328,0.0007328
34,1144.94,0.79164,1.10335,0.95848,0.9977,1,0.995,0.79052,0.74551,0.91383,1.08665,0.0006932,0.0006932,0.0006932
35,1177.19,0.79497,1.03383,0.9945,0.99772,1,0.995,0.83345,0.74354,0.96202,1.07664,0.0006536,0.0006536,0.0006536
36,1212.02,0.70853,0.89075,0.94867,0.99769,1,0.995,0.83458,0.77761,0.9398,1.10301,0.000614,0.000614,0.000614
37,1246.73,0.74505,0.83994,0.94805,0.99775,1,0.995,0.79669,0.84321,0.93063,1.12182,0.0005744,0.0005744,0.0005744
38,1282.52,0.76126,0.96971,0.94114,0.99776,1,0.995,0.82346,0.75328,0.89678,1.06832,0.0005348,0.0005348,0.0005348
39,1314.47,0.71857,0.8341,0.9322,0.99775,1,0.995,0.84156,0.70662,0.8661,1.09261,0.0004952,0.0004952,0.0004952
40,1347.33,0.72609,0.90661,1.03049,0.99775,1,0.995,0.82942,0.78926,0.8642,1.17272,0.0004556,0.0004556,0.0004556
41,1378.83,0.78447,1.20238,0.96565,0.99776,1,0.995,0.82271,0.79114,0.8598,1.1647,0.000416,0.000416,0.000416
42,1410.11,0.73721,1.18177,0.93524,0.99774,1,0.995,0.83633,0.66627,0.82674,1.07031,0.0003764,0.0003764,0.0003764
43,1442.05,0.85682,1.32676,1.01908,0.99773,1,0.995,0.83394,0.63464,0.84617,1.02826,0.0003368,0.0003368,0.0003368
44,1474.28,0.69986,1.10664,0.95948,0.99768,1,0.995,0.8246,0.66822,0.89433,1.03993,0.0002972,0.0002972,0.0002972
45,1505.63,0.86297,1.32235,1.0381,0.99763,1,0.995,0.83996,0.64349,0.88697,1.03053,0.0002576,0.0002576,0.0002576
46,1537.49,0.71538,1.1516,0.96653,0.99757,1,0.995,0.85463,0.63465,0.86579,1.02998,0.000218,0.000218,0.000218
47,1569.11,0.70195,1.13468,0.95279,0.99759,1,0.995,0.85432,0.63383,0.8546,1.03298,0.0001784,0.0001784,0.0001784
48,1602.01,0.63861,1.04015,0.92313,0.99765,1,0.995,0.84934,0.6279,0.84422,1.03202,0.0001388,0.0001388,0.0001388
